matricula;estado;lat;long;bateria
0116FZP;0;37.0685;3.58012;70.91%
1499OLO;0;37.2809;3.29709;95.07%
0068SDF;0;37.369;3.71948;63.13%
5308HQP;2;37.0566;3.05314;12.06%
5617JBU;1;37.8474;3.13699;84.13%
6355JDI;2;37.6295;3.10645;6.1%
3483URN;2;37.1266;3.11868;14.45%
3044TPB;2;37.0524;3.04877;13.89%
0135ISM;3;37.0603;3.71165;79.72%
6516UYH;0;37.2815;3.22371;69.17%
2508XCP;0;37.4491;3.78972;83.55%
8403AWH;2;37.8538;3.53567;1.28%
8969JKP;0;37.4293;3.18425;82.57%
4445OVB;2;37.2783;3.20783;8.55%
4336QNX;1;37.0818;3.6093;42.15%
8826JVR;1;37.5448;3.3008;47.67%
6661DOY;2;37.0742;3.80525;13.36%
5391JQE;0;37.7053;3.16437;52.19%
1683QGG;1;37.7505;3.68538;49.28%
1137MGJ;1;37.8438;3.88469;77.38%
9010HWY;0;37.4203;3.72887;35.41%
4445NOZ;1;37.6496;3.77359;32.16%
8331QGX;3;37.5757;3.35674;43.81%
7658KMT;3;37.9513;3.97982;93.35%
5921KRL;3;37.4219;3.3555;93.73%
1246RYQ;1;37.5586;3.34814;54.77%
5390EAX;1;37.3041;3.18764;41.92%
7641FCU;2;37.5592;3.6531;4.44%
0434RYL;3;37.2938;3.57525;63.36%
3744FAK;2;37.7309;3.07022;3.31%
8812DIX;3;37.8599;3.17517;31.91%
4937TML;0;37.4241;3.57911;68.48%
7064DHM;3;37.2983;3.40335;60.72%
7848ISZ;3;37.3522;3.56368;57.07%
8371GEZ;2;37.4632;3.08036;8.88%
5253MUG;3;37.6765;3.90266;98.54%
9205NRZ;0;37.846;3.43293;56%
2241HVF;2;37.9838;3.1358;7.93%
7232PFO;1;37.4695;3.4306;80.6%
0520DLR;2;37.1156;3.53259;1.1%
3320SWF;1;37.637;3.77937;49.94%
4907FBM;1;37.1022;3.06224;60.08%
7601PVE;2;37.3084;3.90931;2.02%
6141FML;2;37.6759;3.24;8.57%
0712KKX;3;37.5401;3.92135;99.19%
0142YDI;2;37.2146;3.13659;5.86%
3839DLR;0;37.7471;3.96222;98.64%
4445EQV;0;37.5254;3.9785;27.55%
6942WEU;0;37.5684;3.42499;91.44%
0703UYI;3;37.4481;3.24066;68.39%
6800HWQ;1;37.4507;3.1206;47.46%
8613XNV;1;37.0771;3.96685;42.46%
7359JUR;3;37.5223;3.31567;50.46%
7969ZOQ;0;37.1471;3.97636;15.45%
8779UYH;0;37.8349;3.5806;80.61%
4241JZP;1;37.0053;3.89297;47.81%
5403LAF;3;37.1639;3.97514;21.24%
8845LAX;0;37.4298;3.54108;18.47%
5009MNM;1;37.1813;3.4114;39.36%
8549TMB;0;37.4865;3.20963;69.69%
3737OWL;1;37.1477;3.876;80.84%
3403BIT;1;37.5794;3.14533;81.64%
5050LGE;2;37.2024;3.27703;10.99%
3536WZR;0;37.0128;3.54303;82.98%
2844WZT;1;37.0118;3.06322;53.87%
2157ZDX;3;37.9644;3.83644;36.91%
9132TQN;2;37.9697;3.14877;6.06%
0256YLR;3;37.6076;3.90408;74.24%
0456WOV;1;37.609;3.34468;93.58%
5531NLN;2;37.7887;3.55856;4.11%
7614OBD;2;37.1078;3.49844;14.96%
5930LJV;2;37.8123;3.87234;2.67%
5400FFZ;0;37.4821;3.35205;97.27%
7070CJO;3;37.6291;3.96561;88.2%
6902NWN;0;37.5869;3.73747;27.38%
5755SMA;1;37.926;3.94772;59.06%
2809FXX;1;37.1716;3.25343;59.4%
0572BNM;0;37.4389;3.23969;88.01%
7504SOE;1;37.6104;3.77732;54.35%
9469QLW;3;37.7618;3.75454;77.04%
3881EDS;1;37.3994;3.53599;80.76%
6488YFB;3;37.1284;3.65044;51.43%
6174CBP;3;37.2624;3.82935;27.93%
4874BSJ;1;37.0769;3.39316;37.35%
4135LLA;0;37.2423;3.57228;56.12%
1911PHK;1;37.197;3.24009;99.38%
4274WAI;3;37.9724;3.80939;87.07%
0725WHM;0;37.2801;3.95899;79.18%
8921CLP;3;37.5316;3.38946;51.28%
6165NOT;3;37.5283;3.94568;35.82%
2654PQZ;1;37.8767;3.19253;95.55%
4178UVQ;1;37.6471;3.4515;79.13%
5433XWR;0;37.7644;3.14471;25.23%
2330FUU;3;37.8587;3.95508;18.42%
8457LWT;1;37.7512;3.03986;92.4%
5801XJV;1;37.1157;3.28244;36.33%
6000QOI;2;37.8082;3.10937;11.77%
9316BAS;2;37.5011;3.41037;2.69%
5487TWV;1;37.9823;3.53454;48.14%
4994JEC;2;37.0903;3.79648;5.76%
2775IEN;2;37.1671;3.42637;8.98%
2793LMZ;0;37.6135;3.23701;76.56%
3174ERA;2;37.0544;3.8984;11.6%
0747XMT;2;37.9637;3.44304;8.23%
1500YFM;3;37.1529;3.32455;52.9%
3651VJM;1;37.2022;3.17858;88.45%
6223RFH;0;37.6481;3.8478;98.64%
1721FWH;1;37.1088;3.84374;45.98%
1119AQE;2;37.5732;3.32631;10.16%
9484ZVZ;0;37.613;3.46947;22.69%
7289OFB;1;37.0962;3.66425;85.92%
9832FHI;2;37.949;3.55408;4.54%
0189DDK;3;37.4364;3.91689;59.97%
8447ZYI;1;37.7208;3.90258;37.37%
8741LFT;2;37.2491;3.06573;3.03%
2822RED;3;37.4498;3.45367;85.34%
1536MKC;3;37.4678;3.48456;23.4%
8614BGO;2;37.5478;3.64978;4.97%
9452YAS;3;37.142;3.13832;64.53%
8763FBN;0;37.5859;3.19494;67.84%
8691TAL;3;37.6779;3.01259;81.12%
6602YNY;0;37.2245;3.06164;90.13%
9026JLN;3;37.3177;3.40142;37.28%
2133MSF;0;37.3913;3.97365;91.98%
4296QPT;2;37.3327;3.39767;10.59%
9381TEK;0;37.7908;3.31626;99.9%
9793OCR;3;37.3282;3.94435;27.64%
8099WBE;0;37.7062;3.07696;69.65%
2862NRY;2;37.0744;3.44239;10.96%
0981WCB;2;37.5056;3.1021;13.04%
1612JUX;1;37.1807;3.60838;31.04%
8896ISX;1;37.6119;3.31772;67.43%
0831ERD;1;37.3817;3.22123;42.31%
9410OIG;1;37.8026;3.60846;82.7%
6427MRF;1;37.5326;3.68871;93.07%
9662PKX;3;37.4947;3.90644;65.37%
6718TOC;0;37.1512;3.75201;47.8%
4589QWW;2;37.7952;3.59327;6.31%
0366XCR;0;37.1153;3.38701;73.64%
7701RRR;0;37.8098;3.28636;39.08%
0609VSJ;3;37.0512;3.51877;65.66%
5801VLD;2;37.5085;3.66142;13.16%
7709OTQ;1;37.9236;3.69082;36.18%
6886FBS;2;37.5849;3.41714;5.67%
6596IUK;0;37.3597;3.58253;76.23%
0172MWM;3;37.9334;3.62383;24.79%
3771DCY;0;37.9453;3.36637;58.66%
5574BJD;1;37.1146;3.54008;68.82%
9079KPH;0;37.1822;3.05735;59.18%
6565ORC;2;37.3996;3.83406;13.89%
8005DBT;0;37.5299;3.50901;74.09%
5604DXQ;0;37.237;3.28712;20.52%
1947ZSC;1;37.0927;3.78705;83.84%
6166XVD;0;37.5431;3.54407;53.62%
2135ZOS;1;37.8668;3.78954;61.17%
2616HOY;3;37.4225;3.08384;94.51%
9776VSR;0;37.0963;3.75893;83.52%
5480PXQ;3;37.6728;3.32885;96.22%
3916BWC;1;37.7138;3.85981;36.31%
5364FNA;1;37.2721;3.20657;82.95%
8666GUR;3;37.9391;3.42075;87.06%
4218QGC;2;37.8487;3.0581;10.27%
5743BDW;1;37.3891;3.56613;88.83%
7883SXL;2;37.9262;3.52211;11.69%
0052UME;1;37.989;3.65658;47.84%
7231HKJ;2;37.8488;3.86564;8.79%
8066QEF;1;37.5788;3.28791;89.27%
0506LOE;1;37.386;3.5259;37.61%
8541CWE;1;37.9368;3.04747;17.79%
3049YGR;2;37.1909;3.40788;7.27%
1013UKS;2;37.8763;3.08219;14.25%
4189DJX;3;37.5291;3.40851;64%
8552KRW;0;37.177;3.11747;37.3%
6947OIX;2;37.0176;3.77505;11.96%
2022ZRD;2;37.685;3.30968;13.95%
9096TMK;3;37.6241;3.21021;41.17%
3207XJV;2;37.0363;3.22268;5.07%
2786CDD;3;37.7726;3.40268;100.8%
7309SBZ;0;37.3259;3.96081;94.18%
1872FAP;3;37.4998;3.8731;16.55%
6224HSQ;2;37.5202;3.49128;4.88%
2912WPD;3;37.4361;3.43667;76.75%
0919LVR;2;37.583;3.25883;11.76%
4838RSS;3;37.8014;3.06781;88.48%
9352BBQ;2;37.5278;3.47922;10.14%
9203FZM;0;37.781;3.6275;83.89%
3048OFT;3;37.8771;3.08544;50.79%
1196SCJ;2;37.506;3.38261;4.05%
1534YED;2;37.3777;3.33085;7.56%
2539TJM;0;37.9806;3.73116;47.34%
6947FMP;2;37.5232;3.65308;5.82%
7472QDC;1;37.7835;3.27888;44.96%
0855RVJ;0;37.1956;3.97938;63.99%
7073JIQ;1;37.3724;3.93077;48.01%
4601ZOH;1;37.0032;3.94686;40.55%
2857OZK;1;37.8318;3.82847;78.64%
0867TDQ;3;37.3957;3.16572;73.92%
2792EQL;3;37.0738;3.64042;77.65%
6414VBP;2;37.162;3.81438;4.13%
0108QHZ;2;37.7166;3.99521;13.73%
3333LNH;0;37.7993;3.32367;57.07%
3195DDM;0;37.687;3.29997;87.6%
4144LOO;0;37.0961;3.79135;71.84%
0243NHR;1;37.8604;3.83078;39.22%
4736KJL;1;37.1919;3.15149;66.25%
0836EAA;2;37.2047;3.31884;6.11%
5949GHD;1;37.5648;3.26269;98.36%
1725LXI;2;37.019;3.00658;4.17%
8413WSJ;2;37.0402;3.50542;2.24%
4840HJZ;2;37.9758;3.84009;2.59%
5218ZUD;3;37.0903;3.81675;90.65%
2234XHG;0;37.7061;3.16555;67.06%
9326PMP;1;37.7464;3.12663;40.55%
9692CWA;3;37.9696;3.90592;40.2%
4269SDA;2;37.2178;3.03461;10.24%
2077SWL;3;37.5009;3.88304;89.5%
3072QJD;0;37.5863;3.44702;31.58%
6244RKZ;1;37.8683;3.29738;94.66%
1598ATC;3;37.2793;3.58849;68.26%
4642QTN;3;37.4316;3.67901;61.35%
6822WYH;0;37.3322;3.5691;19.63%
2441WUB;1;37.4966;3.51728;48.28%
9603GEM;1;37.5378;3.20021;94.76%
9462EAC;1;37.5866;3.03686;54.43%
3987MIW;3;37.0477;3.49931;28.11%
7079SLO;2;37.8267;3.34366;14.31%
6642KAP;2;37.7179;3.88324;14.9%
4302UFG;2;37.5076;3.53548;13.97%
0607VKL;3;37.9769;3.4747;18.9%
1727QJC;1;37.039;3.86947;60.74%
8931FHS;0;37.3838;3.66047;27.62%
8680TUH;2;37.2282;3.78249;1.04%
4999GVK;0;37.4745;3.3357;66.56%
0395KAX;2;37.0088;3.76865;2.42%
0479TOH;0;37.7745;3.76241;23.33%
8937WEF;2;37.0344;3.52142;4.09%
4385EQL;1;37.0117;3.9495;23.26%
4563WTK;1;37.7081;3.12079;63.98%
3709JBT;2;37.5668;3.34118;8.93%
5386KDU;0;37.6787;3.3869;41.25%
2120EWY;2;37.3397;3.76581;10.66%
1454JEB;2;37.4394;3.49231;10.13%
0108VWN;2;37.3861;3.64317;10.1%
1473DLD;1;37.3542;3.39117;25.03%
8765BKZ;2;37.7279;3.44916;4.76%
9651LIZ;0;37.0588;3.49958;76.42%
0187OBR;1;37.9901;3.53647;61.56%
1720UUG;2;37.073;3.82207;13.21%
7972SEL;2;37.6063;3.23428;14.15%
0330GHO;3;37.5847;3.49988;76.26%
8233SQJ;2;37.1036;3.52228;9.51%
5732ETS;3;37.4648;3.90547;55.53%
4337OKD;0;37.101;3.94256;63.93%
6820RTI;2;37.4036;3.09665;6.19%
7450YBG;0;37.3817;3.0243;80.82%
7530MJA;1;37.5762;3.61357;78.16%
3766DFP;3;37.1033;3.52881;44.01%
3279FRI;3;37.5861;3.35051;65.98%
0163PGK;0;37.8119;3.52715;44.4%
8194PQX;0;37.4761;3.4632;61.7%
7926WDX;3;37.3439;3.11547;30.42%
8924YWM;3;37.4026;3.86725;97.11%
8667IXO;1;37.2285;3.30709;92%
9913ZIN;0;37.9004;3.93254;75.71%
0902FDI;1;37.929;3.57103;100.97%
4060CYJ;0;37.5178;3.4287;59.94%
0021CFD;3;37.5808;3.52511;25.55%
8239SAC;3;37.1413;3.54578;29.72%
5264KWO;1;37.5937;3.04267;34.6%
5467YQT;3;37.8013;3.47051;76.42%
8611FZW;1;37.7219;3.87622;64.5%
9227UAU;2;37.7477;3.50441;13.42%
8675SLN;3;37.3343;3.85399;37.19%
4637IGS;2;37.8079;3.79313;10.56%
2454PVO;1;37.8559;3.58905;42.52%
8207JGW;2;37.7931;3.85852;3.55%
3796WJC;0;37.5836;3.67547;62.87%
3570DDJ;1;37.5793;3.64161;69.86%
4814XOY;1;37.3787;3.16789;38.94%
0221CWQ;1;37.7444;3.17587;86.97%
6646PZT;0;37.4357;3.86741;84.43%
9460PTO;1;37.6183;3.05015;82.89%
9353ENE;2;37.6657;3.69935;2.99%
5539NKY;2;37.3199;3.31905;4.89%
5283HDH;3;37.8852;3.46144;64.58%
0417HBX;1;37.0914;3.36134;25.35%
8222DFQ;1;37.9618;3.88743;43.28%
3121UTP;3;37.0418;3.30849;73.44%
1724ARZ;1;37.1251;3.03807;59.65%
9321VFT;2;37.0833;3.32822;1.61%
1953RKY;0;37.1858;3.209;27%
6788NGR;1;37.2808;3.53311;84.81%
5720MLB;3;37.8751;3.53051;47.84%
0555WKP;1;37.4128;3.45834;18.98%
2240IHY;0;37.5712;3.32096;86.99%
2014KSC;3;37.4637;3.55614;33.19%
3349TRF;0;37.8505;3.83952;47.2%
5209QTP;0;37.9627;3.36229;67.78%
5318MRQ;0;37.8878;3.06502;24.54%
3898BWF;1;37.0385;3.44752;81.3%
7079AJK;3;37.6146;3.29961;60.13%
2894RPH;1;37.3873;3.32249;30.81%
7857OYB;1;37.7187;3.38989;68.03%
4431IFS;0;37.129;3.78812;59.14%
6867WBU;2;37.345;3.45722;14.99%
8433RSQ;1;37.3325;3.2988;32.79%
7020PAN;2;37.132;3.29952;2.87%
6622BOO;3;37.2067;3.35648;36.25%
6310EHU;0;37.9152;3.8623;28.74%
6970QHQ;1;37.4572;3.75199;26.9%
3597ZMX;3;37.6358;3.03378;56.21%
2614GPP;0;37.6526;3.02221;74.39%
8625AQM;2;37.7988;3.95723;2.65%
0921UUE;3;37.7607;3.27146;72.44%
9020EDM;1;37.7099;3.27802;17.94%
0962BMF;1;37.9804;3.75425;70.62%
1645AIF;0;37.1266;3.07829;16.15%
2376PTT;1;37.9135;3.1912;73.79%
5223SXZ;3;37.1769;3.84644;79.81%
8642RQA;3;37.6315;3.21642;91.46%
8417IKW;2;37.5852;3.08233;14.54%
1163HIZ;0;37.0414;3.84282;44.73%
6460DJS;1;37.2748;3.43715;57.68%
9002XSR;3;37.1015;3.13164;68.48%
5381DHG;0;37.3222;3.11724;32.16%
0248GFV;0;37.6481;3.85484;90.52%
6646BYU;0;37.0422;3.2253;71.53%
9369UVH;0;37.0592;3.033;61.92%
0975DLC;1;37.1896;3.05055;66.64%
3727HLH;3;37.6202;3.63296;46.36%
8867HWK;0;37.9102;3.12226;15.68%
1190OJD;1;37.289;3.94236;49.61%
2116CEF;0;37.1758;3.95896;80.94%
7283PAN;0;37.5194;3.45599;28.47%
4023YWC;2;37.7378;3.59869;3%
8430SMA;0;37.353;3.68086;31.35%
4773CAF;1;37.6656;3.09028;78.17%
8610GEM;2;37.7909;3.60209;14.13%
7800CWU;1;37.836;3.02986;74.48%
3330MJB;1;37.5173;3.04464;86.58%
2726ZYY;1;37.7188;3.42515;48.8%
7787QRU;0;37.2885;3.90697;19.31%
1336KJY;1;37.1149;3.74195;37.46%
2706NHE;3;37.6503;3.55116;73.68%
7247JKC;1;37.3438;3.07219;99.13%
2425QUD;2;37.6354;3.44977;1.68%
1123GLI;2;37.6883;3.11525;7.72%
9314HEG;3;37.9608;3.75266;22.2%
6850XAS;2;37.0304;3.14483;14.05%
0002JEU;2;37.4755;3.35976;12.36%
1422MXW;1;37.4595;3.46203;35.24%
4002SKK;2;37.0465;3.75983;6.85%
1424FYQ;3;37.4048;3.26844;67.32%
1383LOK;3;37.1485;3.9832;18.25%
4034UIO;0;37.971;3.25098;30.56%
8213SGX;2;37.519;3.8626;9.05%
4904STO;1;37.0588;3.20508;43.68%
6489VIX;1;37.9279;3.37554;95.24%
8822ZSU;2;37.5144;3.43593;10.08%
1813YBQ;3;37.0884;3.87016;77.95%
5655UIJ;1;37.7438;3.25004;47.83%
5857WBF;1;37.0953;3.7772;58.83%
1702MLJ;3;37.3027;3.55221;60.63%
6983QQW;1;37.7679;3.82259;72.68%
8105JTA;0;37.4038;3.57803;81.26%
8399RBA;2;37.7595;3.80206;7.13%
8457UHH;0;37.5342;3.50792;90.15%
4234FCX;2;37.9721;3.53816;9.36%
4165INA;0;37.382;3.67089;22.25%
4411BLI;1;37.4228;3.09092;77.56%
2987OBZ;3;37.0872;3.1821;19.47%
9555SVF;1;37.8598;3.13673;34.9%
6117QJL;0;37.319;3.13573;26.03%
2880WQP;1;37.2154;3.06193;65.12%
3268URV;1;37.6568;3.75545;53.52%
8871VJO;0;37.7623;3.01195;90.14%
7137PHR;3;37.3965;3.62044;21.75%
4432WRB;0;37.9283;3.70313;58.77%
0418VHX;0;37.7496;3.24436;67.13%
8803PCM;0;37.3911;3.39175;59.96%
3316DLR;1;37.5652;3.68988;50.42%
4218QUR;1;37.5033;3.4387;22.24%
0513ION;1;37.6098;3.641;48.73%
4837CUS;3;37.6498;3.03675;97.05%
2803GUB;1;37.8228;3.0308;76.33%
9650VXX;2;37.11;3.69288;6.48%
8621VAT;0;37.2917;3.15433;55.02%
8758KXO;1;37.704;3.99813;42.06%
5332MGI;1;37.9054;3.67985;56.22%
1295VQD;3;37.6281;3.10257;58.11%
8073QRC;0;37.0198;3.2076;18.04%
0453MRU;0;37.2235;3.88906;57.96%
